Region,Year,Incidents
Midwest,2010,1296
Northeast,2010,1891
South,2010,1370
West,2010,2071
Midwest,2011,1315
Northeast,2011,1693
South,2011,1303
West,2011,1988
Midwest,2012,1438
Northeast,2012,1810
South,2012,1470
West,2012,1875
Midwest,2013,1338
Northeast,2013,1648
South,2013,1286
West,2013,1772
Midwest,2014,1319
Northeast,2014,1499
South,2014,1132
West,2014,1647
Midwest,2015,1269
Northeast,2015,1467
South,2015,1338
West,2015,1785
Midwest,2016,1445
Northeast,2016,1554
South,2016,1313
West,2016,1951
Midwest,2017,1487
Northeast,2017,1770
South,2017,1832
West,2017,2245
